iter,n,K,speed
1,10,1000,0.471850292
1,12,1000,0.014618268
1,14,1000,0.030383938
1,16,1000,0.027672243
1,18,1000,0.06600885
1,20,1000,0.103643016
1,22,1000,0.099540595
1,24,1000,0.159563789
1,26,1000,0.194686176
1,28,1000,0.32807549
1,30,1000,0.464462574
1,32,1000,0.525058669
1,34,1000,0.667294951
1,36,1000,0.635843837
1,38,1000,0.741231293
1,40,1000,1.127117171
1,42,1000,0.963457122
1,44,1000,1.960151027
1,46,1000,1.749758446
1,48,1000,2.892677113
1,50,1000,2.326712592
1,52,1000,2.645621914
1,54,1000,3.158159986
1,56,1000,3.182331771
1,58,1000,4.268320356
1,60,1000,4.852582406
1,62,1000,6.33215219
1,64,1000,6.229992096
1,66,1000,7.279587406
1,68,1000,7.353669988
1,70,1000,8.036144639
1,72,1000,11.318502464
1,74,1000,11.104011731
1,76,1000,12.784751929
1,78,1000,15.775184101
1,80,1000,16.846528354
1,82,1000,16.716681911
1,84,1000,16.47726193
1,86,1000,17.988933264
1,88,1000,19.705212931
1,90,1000,24.20635285
1,92,1000,28.353367567
1,94,1000,30.302247009
1,96,1000,32.464594547
1,98,1000,33.961975667
1,100,1000,42.533836862
2,10,1000,0.013009083
2,12,1000,0.006028471
2,14,1000,0.0283081
2,16,1000,0.044712417
2,18,1000,0.068972743
2,20,1000,0.117164311
2,22,1000,0.108088675
2,24,1000,0.177735498
2,26,1000,0.214571901
2,28,1000,0.282387038
2,30,1000,0.34964958
2,32,1000,0.463937818
2,34,1000,0.461853902
2,36,1000,0.645368946
2,38,1000,0.813691541
2,40,1000,1.027835889
2,42,1000,1.157836961
2,44,1000,1.272341835
2,46,1000,2.100603294
2,48,1000,2.213184765
2,50,1000,2.804900178
2,52,1000,2.668653083
2,54,1000,3.22852589
2,56,1000,3.581552951
2,58,1000,4.022570568
2,60,1000,4.670107289
2,62,1000,5.372842739
2,64,1000,6.113889224
2,66,1000,6.637575781
2,68,1000,7.855141427
2,70,1000,9.848386807
2,72,1000,10.024553952
2,74,1000,10.536836691
2,76,1000,11.013599069
2,78,1000,13.101043885
2,80,1000,11.750734821
2,82,1000,14.80167598
2,84,1000,18.625456816
2,86,1000,20.019441926
2,88,1000,21.479481574
2,90,1000,24.991637092
2,92,1000,25.792070239
2,94,1000,27.958348477
2,96,1000,27.011445345
2,98,1000,35.061051856
2,100,1000,34.139545747
3,10,1000,0.011323423
3,12,1000,0.019763198
3,14,1000,0.029654528
3,16,1000,0.038871251
3,18,1000,0.060806593
3,20,1000,0.070522307
3,22,1000,0.110465188
3,24,1000,0.147366509
