iter,n,K,M,speed,max_previous_assortments,worst_case_revenue
1,20,80,2,13.03030392,5314.359585309998,5314.359585310011
1,20,80,3,2.559787819,5996.538768814451,5999.8814710465695
1,20,80,4,5.953493879,5023.438860694985,5043.649201006489
1,20,80,5,1.827365522,4918.922365124224,4918.922365124223
1,20,80,6,3.242207321,5554.386930470632,5554.386930470643
1,20,80,7,8.675791857,4919.871277232445,5276.546934233296
1,20,80,8,4.560926657,6015.978102158336,6015.978102158335
1,20,80,9,22.756813066,4872.417083784349,4872.417083784347
1,20,80,10,22.121763309,5234.595670090999,5595.029195973023
1,20,80,11,6.881423352,6056.928823541122,6093.212037840565
1,20,80,12,22.076698705,4783.167038687084,5011.829846955622
1,20,80,13,6.864639539,5559.79395653829,5795.277004419227
1,20,80,14,8.555724297,5345.364269853174,5345.364269853175
1,20,80,15,62.149149667,4844.915636885521,5550.192113849833
1,20,80,16,11.904846301,7130.406786864471,7326.586127036869
1,20,80,17,13.734728829,4744.298870831606,4881.115190007152
1,20,80,18,13.5140382,6857.756095818716,6872.605406160385
1,20,80,19,25.084025054,4788.024894218506,4799.6189093964085
1,20,80,20,12.968535154,4816.946729863051,4969.154360912166
2,20,80,2,2.511796748,4936.250200526285,4936.250200526285
2,20,80,3,1.74521753,5925.324619041647,5976.821770238517
2,20,80,4,4.923042669,5775.916826899846,5791.587143580558
2,20,80,5,2.359107228,6038.171304871164,6038.171304871165
2,20,80,6,2.487753174,6437.693694474376,6537.458385619182
2,20,80,7,4.022067367,6430.819813625757,6430.819813625758
2,20,80,8,5.335610358,6218.707448119164,6292.937183596464
2,20,80,9,5.647219931,5662.043422086883,5662.043422086886
2,20,80,10,14.854405013,4601.727979865232,4916.301594014722
2,20,80,11,7.067854972,5598.001214764661,5620.941447378941
2,20,80,12,44.551105197,4249.054272509835,4495.797935053363
2,20,80,13,16.972526942,5373.5011450459115,5429.675859106599
2,20,80,14,8.923687588,5986.201386301479,6087.649790079586
2,20,80,15,22.925357226,5824.546975566135,5891.943497499028
2,20,80,16,14.904916805,7036.675622677075,7304.018608717266
2,20,80,17,36.004142444,6568.048212010306,6868.842586007844
2,20,80,18,8.177286325,4314.00360541888,4669.555958699458
2,20,80,19,32.722289493,4908.122599010034,4988.287179759185
2,20,80,20,23.179670615,4807.403656469807,5570.027438968388
3,20,80,2,1.824095154,4865.956162643348,4865.956162643348
3,20,80,3,3.437335772,4550.119816485271,4550.119816485292
3,20,80,4,2.598097803,5527.015403397912,5527.0154033979115
3,20,80,5,6.824254876,5363.377698807266,5363.377698807267
3,20,80,6,3.125266713,6000.580234069265,6000.580234069264
3,20,80,7,8.838371786,4524.65251154671,4884.36585634701
3,20,80,8,4.718608837,5292.081607728924,5317.07833112817
3,20,80,9,5.806125352,5195.272736711936,5201.010935831867
3,20,80,10,16.350162297,5025.223321793469,5311.15067130406
3,20,80,11,9.133030841,5748.468065789731,5914.840529342952
