iter,max_previous_assortment,best_case_revenue,upper_bound,n,time,rev_ordered
1,7727.24920225164,8088.954907167583,8550.557070995406,10,0.613735896,rev_ordered
1,4627.013386519875,8311.92792063271,7157.760965473086,10,0.580800838,reverse_rev_ordered
1,5311.377791029286,7690.942755094656,7333.327183314456,15,2.143657466,other
2,7602.204928971121,7788.454157937179,8175.137166311632,10,0.775756088,rev_ordered
2,7043.181829521806,8753.316621921926,8452.126731948381,10,0.586510247,reverse_rev_ordered
2,6002.301435155623,8311.916448278984,7858.726596920627,15,2.186167259,other
3,7893.954367814102,8356.58149584079,8768.912755905465,10,0.66264887,rev_ordered
3,5198.449933286146,7306.321746558544,6469.723292683092,10,0.602519932,reverse_rev_ordered
3,4822.0276132498,7572.598398420469,6572.644054123029,15,2.364710918,other
4,6587.975988870002,6971.216377469892,7600.764173332582,10,0.937935952,rev_ordered
4,4315.704306039954,6822.751776011558,6506.152436976873,10,0.577187124,reverse_rev_ordered
4,5465.101646129939,9708.345789315803,9275.353497351713,15,2.132432141,other
5,6514.81856178944,6644.815943096361,6999.98617727571,10,0.630071157,rev_ordered
5,5573.902461068476,8299.476313607218,7964.1019149621625,10,0.597652616,reverse_rev_ordered
5,4441.06360226869,7975.555649302092,6963.495384843001,15,2.210735596,other
6,7154.744042755368,7479.198847249083,7788.501247609013,10,0.685062705,rev_ordered
6,6428.561853360001,8121.2646746273,7493.667999265719,10,0.622111777,reverse_rev_ordered
6,6383.571174950428,9409.095990422287,9076.507767199935,15,2.29867353,other
7,6295.797934716064,6521.402175215667,6806.793965877856,10,0.694852818,rev_ordered
7,5441.414164349718,8763.584260295354,8182.975783067053,10,0.591754447,reverse_rev_ordered
7,4224.366961150874,8664.540508974726,7841.291316055909,15,2.151051693,other
8,5767.151890126182,6149.6383633937885,6663.35229632059,10,0.675095163,rev_ordered
8,3691.1651435074436,6122.604644305946,5562.1593101080825,10,0.644263161,reverse_rev_ordered
8,4857.983290377952,9300.92858249604,8806.639003197746,15,2.165138272,other
9,5377.143374198662,5709.074234562102,6437.617918990918,10,0.704796243,rev_ordered
9,4540.19159035591,6701.257546348648,6387.217409649692,10,0.641120703,reverse_rev_ordered
9,5297.466438667972,8895.707188771265,8065.86180632546,15,2.255199386,other
10,5432.223249740455,5543.223515180531,6228.519935718624,10,0.721072827,rev_ordered
10,4572.535915317114,8158.9664436808425,7614.943924475077,10,0.63372444,reverse_rev_ordered
10,5157.6439049449655,8949.795532899712,8263.205026984373,15,2.217300725,other
11,5981.313616787472,6774.795865303241,7330.2734236702445,10,0.638571032,rev_ordered
11,4858.019280174528,8891.34812976213,8038.251744928892,10,0.661691563,reverse_rev_ordered
11,6268.722410106767,8886.647094986422,8240.152099003968,15,2.296222579,other
12,6297.14868583299,6520.875822549604,6850.054246178413,10,0.679552948,rev_ordered
12,4425.920371244796,6888.066533919624,6409.054982118672,10,0.681916494,reverse_rev_ordered
12,6544.61321982661,9579.702522343232,9164.947812341026,15,2.016743452,other
13,4744.970041848628,4948.619249374031,5706.313295189847,10,0.614623497,rev_ordered
13,4956.803413420141,8449.397970896669,7695.150542130192,10,0.588874387,reverse_rev_ordered
13,5684.075418235965,9750.971413914018,9295.190725448727,15,2.087791624,other
14,7544.283292302485,7926.3990861541515,8506.649264879208,10,0.667375217,rev_ordered
14,5336.1788139086875,7988.230815582398,7535.610186957599,10,0.618623471,reverse_rev_ordered
14,4460.013846424282,8621.152988372733,7439.7020236758835,15,2.162111091,other
15,7351.14448808911,7542.9258105305025,7978.281142526779,10,0.61818829,rev_ordered
15,5743.5069423622635,8160.1583700489655,7772.926600152713,10,0.636033218,reverse_rev_ordered
15,3845.049283723668,8734.495183368861,6922.061530108048,15,2.055994786,other
16,7267.51376201013,7381.007779871088,7795.794987467412,10,0.678882869,rev_ordered
16,4410.113682786266,8497.540729351571,7397.033424973302,10,0.597126225,reverse_rev_ordered
16,5001.054404610424,8393.157602899459,7651.6481735974685,15,2.389770075,other
17,8153.532620157821,8283.428400244436,8744.61874227857,10,0.665227561,rev_ordered
17,4430.686951177503,7817.740850794111,6755.090322617259,10,0.59856518,reverse_rev_ordered
17,4771.6348761748395,8256.009217342573,7839.005167537001,15,2.184950583,other
18,6025.845797416798,6594.196855618593,7001.733475111941,10,0.630375298,rev_ordered
18,4668.567360982487,7424.218440035809,6809.3393185587465,10,0.584865438,reverse_rev_ordered
18,5796.158739437271,8691.80788140998,8570.289094534715,15,2.289973817,other
19,6579.118891194872,6923.058957078856,7463.891699621598,10,0.673289138,rev_ordered
19,4400.91740123898,6866.688524765738,6148.212618883693,10,0.600605443,reverse_rev_ordered
19,4709.911724413187,8358.407847659542,7716.533618995945,15,2.287895422,other
20,6650.917179637723,6828.97299387204,7314.007250864666,10,0.759927201,rev_ordered
20,3961.3806267764776,6625.179193055934,6194.211240969816,10,0.615842643,reverse_rev_ordered
20,5550.531054626236,9042.841808264962,8044.972305006321,15,2.077352503,other
21,5338.331907576829,5678.872606387868,6610.529875369978,10,0.60189642,rev_ordered
21,5188.019010269296,8476.555497561187,7811.775398951965,10,0.614293717,reverse_rev_ordered
21,5971.809431613297,9127.913143786147,8472.922136811385,15,2.212703616,other
22,5229.836310748605,5829.695794583977,6478.667986055892,10,0.615801187,rev_ordered
22,4944.6607780346485,8820.594571861651,7216.386526695395,10,0.701845651,reverse_rev_ordered
22,5606.426782345261,8939.437268055175,8637.929030756795,15,2.299634001,other
23,6827.347151531685,7379.207317745929,7821.668427673855,10,0.622176531,rev_ordered
23,5679.995898350176,9253.63096696253,8500.043475603929,10,0.649561127,reverse_rev_ordered
23,4564.419801557326,8285.67349965539,7506.34318398802,15,2.299866203,other
24,7078.603700553218,7340.678162411643,7694.667425458649,10,0.626262055,rev_ordered
24,4324.840600499994,8156.526881665939,7431.155880785719,10,0.619979636,reverse_rev_ordered
24,5434.518523856729,9025.825851817981,8044.374111637097,15,2.080147257,other
25,7306.16882677264,7306.16882677268,7620.15921981386,10,0.618389826,rev_ordered
25,6084.644528668849,8829.04902692882,7996.493451345991,10,0.58563444,reverse_rev_ordered
25,5201.966734525175,8086.89198384765,7547.298732081802,15,2.17940085,other
26,5905.585784667412,6724.85508828404,7362.729201141473,10,0.677287488,rev_ordered
26,3747.2651019638315,7343.086536178797,6204.98500980512,10,0.638190488,reverse_rev_ordered
26,4427.589853064352,9044.165933569904,7939.606596417308,15,2.330732924,other
27,7126.122965048677,7347.029839237989,7754.032779848114,10,0.637620699,rev_ordered
27,5486.345877083073,7397.255472148975,6642.119958575829,10,0.652719252,reverse_rev_ordered
27,5283.188001745104,8941.172097651744,8310.887648179018,15,2.2412389,other
28,6680.06978111899,7020.500053848168,7451.63234847966,10,0.646985099,rev_ordered
28,4152.605500398475,5525.621108315555,5170.9674934794675,10,0.556286005,reverse_rev_ordered
28,5130.008672688153,8923.489430606593,7773.424174512385,15,2.043461727,other
29,7633.588181089472,7823.230985868722,8334.800468957965,10,0.596678295,rev_ordered
29,6343.058800746418,9131.155346345184,8694.895144976012,10,0.974310274,reverse_rev_ordered
29,5203.762050639804,8708.131552139306,8007.204336277542,15,2.300784799,other
30,6189.9533802034,6325.2507077989,6798.334248896814,10,0.676486867,rev_ordered
30,4921.294732731867,7995.941460117256,7403.956723461512,10,0.611935105,reverse_rev_ordered
30,6530.488207120512,9443.557082137168,8862.013901888542,15,2.329298231,other
31,6514.548231921923,6791.665223503409,7355.534367233435,10,0.640139865,rev_ordered
31,4780.760936048024,8607.0639917795,7904.724440503934,10,0.584240301,reverse_rev_ordered
31,4190.680128628006,9170.130518047377,8322.385930109225,15,2.105192766,other
32,5649.754386073686,6433.462759122847,7035.506631795431,10,0.716810764,rev_ordered
32,4070.816191504209,6313.652682216735,6170.2747476521545,10,0.578839987,reverse_rev_ordered
32,3686.848504990995,9362.616509096903,7625.054346362281,15,2.130675877,other
33,6274.592720229988,6966.88257107573,7265.180461571416,10,0.604863444,rev_ordered
33,4545.8508082405415,7217.083859996175,6633.275798130843,10,0.636380709,reverse_rev_ordered
33,5359.169893298926,8892.616329153525,8309.142464143348,15,2.241860655,other
34,7922.929300007643,7922.929300007717,8265.849276399296,10,0.62699236,rev_ordered
34,4514.061423515,7107.650961372589,6731.516783262994,10,0.651526355,reverse_rev_ordered
