iter,n,K,speed
1,10,1000,0.364340285
1,12,1000,0.026415749
1,14,1000,0.040814612
1,16,1000,0.063700329
1,18,1000,0.057811809
1,20,1000,0.082116259
1,22,1000,0.111598175
1,24,1000,0.142785639
1,26,1000,0.282223775
1,28,1000,0.193083829
1,30,1000,0.305383721
1,32,1000,0.369004074
1,34,1000,0.445366233
1,36,1000,0.5349384
1,38,1000,0.507463768
1,40,1000,1.182084444
1,42,1000,0.906831184
1,44,1000,0.939816904
1,46,1000,1.476615188
1,48,1000,2.402523216
1,50,1000,2.138039442
1,52,1000,4.266383464
1,54,1000,2.785493454
1,56,1000,2.968896072
1,58,1000,3.520854899
1,60,1000,3.907284903
1,62,1000,4.859472831
1,64,1000,5.599824047
1,66,1000,5.343945642
1,68,1000,7.401921553
1,70,1000,5.701081447
1,72,1000,7.847262384
1,74,1000,6.692686942
1,76,1000,8.723630832
1,78,1000,12.63635976
1,80,1000,10.516445231
1,82,1000,14.552332686
1,84,1000,16.205188498
1,86,1000,17.448570725
1,88,1000,18.887658086
1,90,1000,21.556219208
1,92,1000,24.272625368
1,94,1000,25.675689796
1,96,1000,27.293264107
1,98,1000,31.210256253
1,100,1000,32.933617019
2,10,1000,0.008145838
2,12,1000,0.031017946
2,14,1000,0.039626777
2,16,1000,0.06304249
2,18,1000,0.069155486
2,20,1000,0.165949254
2,22,1000,0.096669587
2,24,1000,0.177466021
2,26,1000,0.26879729
2,28,1000,0.318536194
2,30,1000,0.355554022
2,32,1000,0.401211711
2,34,1000,0.536699213
2,36,1000,0.655215556
2,38,1000,0.885509155
2,40,1000,1.146499421
2,42,1000,1.264598173
2,44,1000,1.07909082
2,46,1000,1.479292993
2,48,1000,2.171524189
2,50,1000,2.279768005
2,52,1000,2.46916832
2,54,1000,2.986940222
2,56,1000,3.516997913
2,58,1000,3.424894928
2,60,1000,4.124575545
2,62,1000,4.063103237
2,64,1000,4.291376565
2,66,1000,6.304202495
2,68,1000,5.703323649
2,70,1000,6.765700469
2,72,1000,7.603840773
2,74,1000,9.583063386
2,76,1000,9.614752403
2,78,1000,10.979726201
2,80,1000,14.209926777
2,82,1000,14.138441478
2,84,1000,13.934343286
2,86,1000,16.433239576
2,88,1000,20.68778401
2,90,1000,20.722421726
2,92,1000,29.635538792
2,94,1000,27.889657837
2,96,1000,26.440068332
2,98,1000,31.699766613
2,100,1000,37.62237363
3,10,1000,0.018868281
3,12,1000,0.085712023
3,14,1000,0.036180295
3,16,1000,0.050558331
3,18,1000,0.032171261
3,20,1000,0.083866861
3,22,1000,0.135959013
3,24,1000,0.142045508
3,26,1000,0.255711319
3,28,1000,0.219621696
3,30,1000,0.325196026
3,32,1000,0.363775861
3,34,1000,0.420367833
3,36,1000,0.521875372
3,38,1000,0.882893411
3,40,1000,0.9282187
3,42,1000,1.272256244
3,44,1000,1.394967789
3,46,1000,1.240426852
3,48,1000,1.997992844
3,50,1000,2.035952884
3,52,1000,2.506655064
3,54,1000,2.872454829
3,56,1000,2.67505965
3,58,1000,3.840857132
3,60,1000,4.205901553
3,62,1000,4.589605413
3,64,1000,5.265002627
3,66,1000,4.50506852
3,68,1000,6.851795982
3,70,1000,6.32017238
3,72,1000,6.833210308
3,74,1000,7.888502577
3,76,1000,9.007366585
3,78,1000,10.224464074
3,80,1000,13.416471457
3,82,1000,12.38735733
3,84,1000,16.205606078
3,86,1000,16.671280878
3,88,1000,16.863263913
3,90,1000,23.111630566
3,92,1000,27.805370885
3,94,1000,28.811732632
3,96,1000,30.043440429
3,98,1000,29.897976203
3,100,1000,31.846135389
4,10,1000,0.013525027
4,12,1000,0.02700249
4,14,1000,0.035862318
4,16,1000,0.061352244
4,18,1000,0.099887373
4,20,1000,0.205939092
4,22,1000,0.10842039
4,24,1000,0.163001745
4,26,1000,0.32308669
4,28,1000,0.201809175
4,30,1000,0.31787571
4,32,1000,0.500182771
4,34,1000,0.572842099
4,36,1000,0.601708773
4,38,1000,0.731292886
4,40,1000,0.981406922
4,42,1000,1.172900948
4,44,1000,1.41254037
4,46,1000,1.489023019
4,48,1000,1.705951817
4,50,1000,2.246899656
4,52,1000,2.887043886
4,54,1000,2.317307978
4,56,1000,3.244616786
4,58,1000,4.190798546
4,60,1000,4.194774307
4,62,1000,4.569775017
4,64,1000,4.642791238
4,66,1000,5.786539624
4,68,1000,6.640091931
4,70,1000,5.796461106
4,72,1000,8.146381676
4,74,1000,9.12005642
4,76,1000,11.278645795
4,78,1000,10.933993679
4,80,1000,10.386997626
4,82,1000,14.733735445
4,84,1000,13.131377119
4,86,1000,15.826723764
4,88,1000,17.943466099
4,90,1000,18.432536937
4,92,1000,23.869249727
4,94,1000,27.132711332
4,96,1000,35.17797793
4,98,1000,36.628429502
4,100,1000,35.366877304
5,10,1000,0.01304171
5,12,1000,0.032230306
5,14,1000,0.02980314
5,16,1000,0.060560534
5,18,1000,0.05320562
5,20,1000,0.072211266
5,22,1000,0.100726851
5,24,1000,0.176598233
5,26,1000,0.181034969
5,28,1000,0.166624838
5,30,1000,0.320010766
5,32,1000,0.22070468
5,34,1000,0.559446899
5,36,1000,0.611936375
5,38,1000,0.791493845
5,40,1000,0.887550254
5,42,1000,1.110020754
5,44,1000,1.108061248
5,46,1000,1.273480761
5,48,1000,1.588908679
5,50,1000,2.152188727
5,52,1000,2.01559817
5,54,1000,2.5877821
5,56,1000,2.485599331
5,58,1000,3.62818798
5,60,1000,3.499962246
5,62,1000,4.878780368
5,64,1000,6.626695613
5,66,1000,6.990636208
5,68,1000,6.816149741
5,70,1000,8.709224437
5,72,1000,6.798677724
5,74,1000,9.341351854
5,76,1000,10.513098353
5,78,1000,11.455727519
5,80,1000,13.334907106
5,82,1000,15.378258324
5,84,1000,14.849354278
5,86,1000,15.25111864
5,88,1000,16.775423259
5,90,1000,16.746656805
5,92,1000,22.473646083
5,94,1000,23.69061748
5,96,1000,23.925654575
5,98,1000,25.31210512
5,100,1000,29.938496542
6,10,1000,0.012416111
6,12,1000,0.022846187
6,14,1000,0.040052262
6,16,1000,0.050590899
6,18,1000,0.118289254
6,20,1000,0.097254169
6,22,1000,0.21865575
6,24,1000,0.156817068
6,26,1000,0.211913629
6,28,1000,0.314724205
6,30,1000,0.172757578
6,32,1000,0.384022976
6,34,1000,0.570252711
6,36,1000,0.514354042
6,38,1000,0.69316494
6,40,1000,0.852361545
6,42,1000,1.188880994
6,44,1000,1.802655196
6,46,1000,1.385353865
6,48,1000,1.43701324
6,50,1000,1.94902419
6,52,1000,2.519175981
6,54,1000,2.707825211
6,56,1000,3.490707175
6,58,1000,3.890895326
6,60,1000,3.164133255
6,62,1000,4.279939057
6,64,1000,4.890111461
6,66,1000,5.966351061
6,68,1000,7.091014383
6,70,1000,6.909400064
6,72,1000,6.877726101
6,74,1000,9.412094142
6,76,1000,9.496392278
6,78,1000,11.21662254
6,80,1000,11.883262609
6,82,1000,14.096131045
6,84,1000,14.368418885
6,86,1000,15.472207155
6,88,1000,18.049782566
6,90,1000,19.530007461
6,92,1000,19.555284539
6,94,1000,21.976309339
6,96,1000,25.158520266
6,98,1000,28.905195328
6,100,1000,31.428726927
7,10,1000,0.020385865
7,12,1000,0.027805486
7,14,1000,0.039504733
7,16,1000,0.057738801
7,18,1000,0.081990183
7,20,1000,0.092960959
7,22,1000,0.179135345
7,24,1000,0.151305225
7,26,1000,0.145712209
7,28,1000,0.340585752
7,30,1000,0.366144382
7,32,1000,0.394232209
7,34,1000,0.493050868
7,36,1000,0.780432269
7,38,1000,0.830277762
7,40,1000,0.961775008
7,42,1000,1.087616702
7,44,1000,1.40590806
7,46,1000,1.849424629
7,48,1000,1.529507743
7,50,1000,1.934486834
7,52,1000,2.920902185
7,54,1000,2.361230426
7,56,1000,3.046879873
7,58,1000,3.585519706
7,60,1000,4.404691988
7,62,1000,4.578391847
7,64,1000,5.057706667
7,66,1000,5.644495119
7,68,1000,7.244585099
7,70,1000,7.536542114
7,72,1000,8.679048977
7,74,1000,9.269759524
7,76,1000,10.604304137
7,78,1000,11.200264137
7,80,1000,12.733628388
7,82,1000,12.789639628
7,84,1000,15.61508735
7,86,1000,15.83962287
7,88,1000,18.346081581
7,90,1000,21.971443695
7,92,1000,22.603958708
7,94,1000,20.621484265
7,96,1000,22.370724225
7,98,1000,25.49527411
7,100,1000,22.916765552
8,10,1000,0.016397709
8,12,1000,0.03185526
8,14,1000,0.025713343
8,16,1000,0.045685105
8,18,1000,0.051952819
8,20,1000,0.124836836
8,22,1000,0.099499812
8,24,1000,0.133384309
8,26,1000,0.257096317
8,28,1000,0.244268312
8,30,1000,0.288644725
8,32,1000,0.248836844
8,34,1000,0.446936823
8,36,1000,0.496243015
8,38,1000,0.654142325
8,40,1000,0.826374533
8,42,1000,0.92956181
8,44,1000,1.200259064
8,46,1000,1.347319208
8,48,1000,1.139109442
8,50,1000,1.518510049
8,52,1000,2.350376806
8,54,1000,2.197382043
8,56,1000,2.595377993
8,58,1000,2.78166824
8,60,1000,3.001953052
8,62,1000,3.474468991
8,64,1000,3.739551461
8,66,1000,4.308787322
8,68,1000,5.353542061
8,70,1000,5.900373928
8,72,1000,5.735917084
8,74,1000,7.924275585
8,76,1000,7.551449778
8,78,1000,9.328460565
8,80,1000,10.224153809
8,82,1000,11.150570474
8,84,1000,12.099441189
8,86,1000,15.439953345
8,88,1000,15.399672716
8,90,1000,16.127186296
8,92,1000,18.603780701
8,94,1000,17.059820115
8,96,1000,19.700946311
8,98,1000,24.429179011
8,100,1000,21.27699722
9,10,1000,0.013855243
9,12,1000,0.0145214
9,14,1000,0.138867442
9,16,1000,0.041720617
9,18,1000,0.065728678
9,20,1000,0.067005363
9,22,1000,0.077803531
9,24,1000,0.171128266
9,26,1000,0.348701961
9,28,1000,0.142696688
9,30,1000,0.262659404
9,32,1000,0.428993148
9,34,1000,0.459579202
9,36,1000,0.429963488
9,38,1000,0.677120591
9,40,1000,0.700757695
9,42,1000,1.192509943
9,44,1000,1.305466296
9,46,1000,0.95833338
9,48,1000,1.432639024
9,50,1000,1.817736421
9,52,1000,1.962102807
9,54,1000,3.022331202
9,56,1000,2.434433837
9,58,1000,3.720729499
9,60,1000,3.754829436
9,62,1000,3.999616815
9,64,1000,4.207111137
9,66,1000,4.53294557
9,68,1000,5.172640455
9,70,1000,5.497980642
9,72,1000,6.221399286
9,74,1000,7.041806349
9,76,1000,8.145558088
9,78,1000,9.092593721
9,80,1000,10.289160463
9,82,1000,11.600338674
9,84,1000,11.917182665
9,86,1000,12.197312014
9,88,1000,14.272983645
9,90,1000,17.85347196
9,92,1000,18.458847629
9,94,1000,22.178901785
9,96,1000,21.619426161
9,98,1000,24.540709863
9,100,1000,28.294870398
10,10,1000,0.015139319
10,12,1000,0.024619503
10,14,1000,0.035489326
10,16,1000,0.048368551
10,18,1000,0.055715379
10,20,1000,0.058037225
10,22,1000,0.183350588
10,24,1000,0.133296629
10,26,1000,0.116813141
10,28,1000,0.296952351
10,30,1000,0.297049098
10,32,1000,0.321642965
10,34,1000,0.466640177
10,36,1000,0.742337172
10,38,1000,0.834996896
10,40,1000,0.90976008
10,42,1000,0.777105608
10,44,1000,1.175882512
10,46,1000,1.267074619
10,48,1000,1.216363024
10,50,1000,1.863745762
10,52,1000,1.594591126
10,54,1000,2.514630165
10,56,1000,1.990668014
10,58,1000,2.97631501
10,60,1000,3.072078045
